Date,Platform,User's
2025-09-07,CRIS,8582
2025-09-08,CRIS,8622
2025-09-09,CRIS,8831
2025-09-10,CRIS,8918
2025-09-11,CRIS,8983
2025-09-12,CRIS,9047
2025-09-13,CRIS,9112
2025-09-14,CRIS,9159
2025-09-15,CRIS,9159
2025-09-16,CRIS,9159
2025-09-17,CRIS,9274
2025-09-18,CRIS,9334
2025-09-19,CRIS,9388
2025-09-20,CRIS,9428
2025-09-21,CRIS,9489
2025-09-22,CRIS,9537
2025-09-23,CRIS,9589
2025-09-24,CRIS,9760
2025-09-25,CRIS,9813
2025-09-26,CRIS,9858
2025-09-27,CRIS,9893
2025-09-28,CRIS,9943
2025-09-29,CRIS,9976
2025-09-30,CRIS,10011
2025-10-01,CRIS,10053
2025-10-02,CRIS,10096
2025-10-03,CRIS,10272
2025-10-04,CRIS,10347
2025-10-05,CRIS,10410
2025-10-06,CRIS,10463
2025-10-07,CRIS,10519
2025-10-08,CRIS,10666
2025-10-09,CRIS,11418
2025-10-10,CRIS,12061
2025-10-11,CRIS,12756
2025-10-12,CRIS,13490
2025-10-13,CRIS,14178
2025-10-14,CRIS,14893
2025-10-15,CRIS,15711
2025-10-16,CRIS,16569
2025-10-17,CRIS,18035
2025-10-18,CRIS,18409
2025-10-19,CRIS,19174
2025-10-20,CRIS,19750
2025-10-21,CRIS,20579
2025-10-22,CRIS,21494
2025-10-23,CRIS,22424
2025-10-24,CRIS,23378
2025-10-25,CRIS,24454
2025-10-26,CRIS,25600
2025-10-27,CRIS,27210
2025-10-28,CRIS,28849
2025-10-29,CRIS,29885
2025-10-30,CRIS,29993
2025-10-31,CRIS,30082
2025-11-01,CRIS,30167
2025-11-02,CRIS,30238
2025-11-03,CRIS,30326
2025-11-04,CRIS,30387
2025-11-05,CRIS,30451
2025-11-06,CRIS,30512
2025-11-07,CRIS,30565
2025-11-08,CRIS,30619
2025-11-09,CRIS,30697
2025-11-10,CRIS,30760
2025-11-11,CRIS,30822
2025-11-12,CRIS,30878
2025-11-13,CRIS,30927
2025-11-14,CRIS,30984
2025-11-15,CRIS,31039
2025-11-16,CRIS,31101
2025-11-17,CRIS,31101
2025-11-18,CRIS,31174
2025-11-19,CRIS,31232
2025-11-20,CRIS,31280
2025-11-21,CRIS,31329
2025-11-22,CRIS,31378
2025-11-23,CRIS,31422
2025-11-24,CRIS,31491
2025-11-25,CRIS,31535
2025-11-26,CRIS,31578
2025-11-27,CRIS,31636
2025-11-28,CRIS,31691
2025-11-29,CRIS,31744
2025-11-30,CRIS,31792
2025-12-01,CRIS,31841
2025-12-02,CRIS,31880
2025-12-03,CRIS,31932
2025-12-04,CRIS,31982
2025-12-05,CRIS,32026
2025-12-06,CRIS,32076
2025-12-07,CRIS,32122
2025-12-08,CRIS,32183
2025-12-09,CRIS,32235
2025-12-10,CRIS,32282
2025-12-11,CRIS,32328
2025-12-12,CRIS,32381
2025-12-13,CRIS,32436
2025-12-14,CRIS,32483
2025-12-15,CRIS,32538
2025-12-16,CRIS,32589
2025-12-17,CRIS,32633
2025-12-18,CRIS,32737
2025-12-19,CRIS,32828
2025-12-20,CRIS,32878
2025-12-21,CRIS,32909
2025-12-22,CRIS,32998
2025-12-23,CRIS,33047
2025-12-24,CRIS,33114
2025-12-25,CRIS,33168
2025-12-26,CRIS,33226
2025-12-27,CRIS,33275
2025-12-28,CRIS,33344
2025-12-29,CRIS,33428
2025-12-30,CRIS,33534
2025-12-31,CRIS,33661
2026-01-01,CRIS,33773
2026-01-02,CRIS,33906
